ai,长沙,峰行文化,20-99人,3-4K,经验不限,大专,['ai']
创业合伙人,长沙,长沙岩安测控科技,0-20人,20-21K,经验不限,学历不限,"['互联网', '人工智能', '制造业', '创业型', '1-20人', '从0-1搭建团队', '有自主创业经验']"
人工智能开发,长沙,迪博,100-499人,12-22K·14薪,1-3年,本科,"['TensorFlow', 'PyTorch', '自然语言处理项目经验']"
ai产品经理,长沙,计支宝,100-499人,12-20K,1-3年,本科,"['B端产品', 'gpt']"
AI产品总监,长沙,华为,10000人以上,20-30K·18薪,1-3年,硕士,"['语义类AI', '机器学习类AI', 'B端产品', 'AI芯片', 'AI机器人', '视觉类AI']"
AI和大数据项目实施工程师,长沙,中电信数智湖南分公司,500-999人,9-12K,3-5年,本科,"['计算机相关专业', '软件实施经验', '可适应出差']"
高级产品经理（人工智能）,长沙,某大型互联网公司,500-999人,20-40K,5-10年,本科,['机器学习类AI']
AI人工智能工程师(长沙、深圳),长沙,大头,20-99人,15-30K,1-3年,大专,"['pytorch', '搜索/推荐', 'TensorFlow/PyTorch', '机器学习算法/工程化经验', '强化学习', '斗地主', '计算机相关专业', '深度学习经验', 'Python']"
ai算法工程师（知识建模博士）,长沙,某500强上市公司,10000人以上,40-50K·15薪,5-10年,博士,"['人工智能', '神经网络', '知识图谱']"
Python 人工智能，算法工程师,长沙,飞创,20-99人,8-10K·13薪,1-3年,硕士,"['机器学习/算法工程', '数据开发', '运维开发', 'Python']"
python开发（AI方向）,长沙,盈米基金,100-499人,12-20K·15薪,1-3年,本科,"['后端', '机器学习/算法工程', 'Python', '爬虫经验']"
AI底层计算支撑研发工程师,长沙,飞腾公司,1000-9999人,15-30K·15薪,经验不限,本科,"['C++', 'Shell', '深度学习算法', '算法设计', 'CCL', 'ARM']"
AI技术支持工程师(J11798),长沙,中科曙光,1000-9999人,11-20K·13薪,3-5年,本科,"['TensorFlow', 'Pytorch', 'PaddlePaddle']"
AI工程师【模型训练师】,长沙,科创信息,1000-9999人,11-22K,1-3年,硕士,"['LLM（大型语言模型）', '自然语言处理', '模型推理加速']"
AI产品经理,长沙,迪文科技,1000-9999人,11-20K,1-3年,硕士,"['B端产品', 'AI产品', '用户产品', '人工智能', '运营', '项目策划']"
人工智能训练师,长沙,掌行科技,20-99人,5-10K,经验不限,大专,"['全职工作', '标注方法优化', '数据标注', '标注数据分析', '图片标注', '文本标注', '数据分析能力强']"
ai技术员,长沙,航特科技,100-499人,6-9K,3-5年,中专/中技,['AI工程师']
插画AI助教adobe,长沙,今日有学,100-499人,5-7K,1-3年,大专,"['全职', '企业/自有品牌', '教育/课件插画', 'AI', 'adobe', '插画AI']"
AI数字人 销售经理,长沙,长沙梓予文化传媒,20-99人,6-8K,经验不限,学历不限,"['商务合作拓展', '媒体', 'To B销售经验']"
人工智能编程老师,长沙,湖南正中航空科技发展,20-99人,6-11K,1-3年,大专,"['线下教育', '小班教学（3-25人）', '学前儿童/小学生', '大型教育机构经验', '销售经验', '坐班']"
D音Ai获客软件销售项目经理,长沙,斐驰科技,20-99人,10-15K,1-3年,高中,"['企业（To B）', '对企业/机构（To B）销售经验', '电话销售经验', '网络营销经验', '互联网/科技']"
音频算法工程师（AI音乐）,长沙,某500强上市公司,1000-9999人,40-65K·15薪,5-10年,硕士,"['音频前后处理算法', '噪声抑制(NS)', '增益控制(AGC)']"
python讲师,长沙,诚趣教育科技有限公司,20-99人,5-10K·13薪,经验不限,大专,"['爬虫', 'python', 'Django', '后端', '数据结构', 'Python']"
ai美术设计师,长沙,长沙正琏科技有限公司,20-99人,4-6K·13薪,1年以内,大专,['游戏公司']
FAE技术支持工程师(AI智算方向）,长沙,方心科技,100-499人,20-40K,3-5年,本科,"['Java', 'C++', '算法研究', '985', '211']"
AI编译器开发工程师,长沙,某知名电子上市公司,1000-9999人,25-50K·14薪,3-5年,本科,"['编译器/LLVM/GCC/TVM', 'XLA/GLOW/算子融合', '计算图优化/IR优化']"
AI数字人销售工程师,长沙,结贝云,20-99人,10-15K,1-3年,大专,"['制定产品/服务方案', '技术配合与沟通', '售前/售后技术支持', '智能硬件', '计算机软件', '商务谈判能力', '市场拓展能力', '技术转销售', '计算机相关学历', '市场营销相关学历']"
AIGC 产品经理,长沙,某互联网公司,20-99人,20-30K,3-5年,本科,"['C端产品', 'B端产品', '机器学习类AI', '语音类AI', '视觉类AI']"
人工智能技术总监,长沙,博识峰云,100-499人,20-25K·15薪,5-10年,本科,"['全栈开发', 'Java', 'C语言', 'Python', 'UE4开发', 'U3D开发', '前后端开发', '服务端开发']"
AI产品经理,长沙,中科云谷,500-999人,18-30K·15薪,3-5年,本科,"['AI', '产品经理', '知识图谱', '机器学习类AI', '运筹优化']"
法律行业AI算法工程师(可兼职）,长沙,长沙奥荣智能科技,20-99人,2000-5000元/月,经验不限,学历不限,"['业务导向', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']"
ai产品经理,长沙,某互联网公司,20-99人,25-26K,3-5年,本科,['AI机器人']
人工智能工程师（周末双休）,长沙,中广汇智,100-499人,10-15K,3-5年,本科,"['大语言模型', '模型训练与部署', 'Python', 'GPT']"
ai产品经理,长沙,艾思课,20-99人,10-15K,3-5年,本科,"['C端产品', 'B端产品', '语义类AI']"
知识建模博士,长沙,某500强上市公司,1000-9999人,20-25K·15薪,经验不限,博士,"['知识图谱', '模型建模', '神经网络', '自然语言处理', '知识生成', '架构设计']"
人工智能工程师,长沙,中国长城科技,10000人以上,10-15K·16薪,3-5年,本科,"['语音/图像识别', '机器学习算法/工程化经验', '计算机相关专业', '深度学习经验', 'AI']"
AI算法研究员,长沙,智慧眼,100-499人,18-30K,经验不限,硕士,"['多维算法', '图像算法', '识别算法']"
研发副总,长沙,海峡智汇,20-99人,50-80K·13薪,5-10年,博士,"['人工智能', '产品研发', '技术创新', '机器人', '自动化']"
大疆无人机行业应用产品经理,长沙,湖南皓宙智能科技,20-99人,5-8K,经验不限,学历不限,"['产品经理', '用户研究', '需求分析', '项目管理']"
无人车辆副总设计师,长沙,某大型计算机硬件公司,100-499人,21-30K,5-10年,硕士,"['车辆工程相关专业', '汽车电子系统开发经验', '紧跟地面无人装备系统', '地面无人装备领域']"
AI视频剪辑,长沙,湖南泰德科技,0-20人,6-7K,1-3年,大专,"['短视频', '活动视频', '电商视频', '剪辑', '合成', '三维']"
AI设计师,长沙,鑫达阳光,20-99人,5-8K,1-3年,大专,['广告设计']
无人车辆副总设计师,长沙,某大型船舶公司,100-499人,18-25K,10年以上,硕士,"['自动驾驶', '人工智能', '军工集团']"
初中级AI训练师-六险一金双休,长沙,云起科技,20-99人,7-10K,1-3年,大专,"['全职工作', '文本标注', '语音标注']"
AI架构师,长沙,三湘银行,500-999人,20-30K·15薪,5-10年,本科,"['Java', 'Python', '微服务架构', '容器技术', '分布式技术', '平台架构', '人工智能']"
副总经理（技术方向）,长沙,某500强上市公司,500-999人,60-90K·15薪,10年以上,博士,"['互联网', '人工智能']"
人工智能工程师  急聘  双休,长沙,星河云程,20-99人,7-12K·16薪,3-5年,本科,"['英文读写能力良好', '机器学习算法/工程化经验', '深度学习经验', 'K8s相关功能模块开发', '人工智能模型开发部署']"
AI编译器研发工程师-上市公司,长沙,某知名电子上市公司,1000-9999人,20-35K,1-3年,本科,"['C++', 'OpenGL', '编译器开发经验', 'CPU编译器开发', 'GPU编译器开发']"
AI编译器工程师,长沙,某知名电子上市公司,1000-9999人,28-40K·14薪,3-5年,本科,"['C++', 'C', 'OpenGL', '编译器开发经验', 'LLVM', 'TVM', '算子融合、计算图优化']"
AI售前经理,长沙,爱莫科技,100-499人,12-24K,3-5年,本科,"['系统集成', '智慧城市信息化项目', '招投标经验', '可适应出差', 'AI']"
AI数字人销售负责人,长沙,分蛋科技,100-499人,5-10K,1-3年,大专,"['企业（To B）', '对企业/机构（To B）销售经验', '电话销售经验', '网络营销经验', '互联网/科技', '教育培训', '其他产品/服务', '软件/企业服务产品', '电话销售', '网络销售', '面销/陌拜']"
D音AI拓客系统项目市场负责人(网销+电销),长沙,浩合商务,20-99人,15-30K,3-5年,大专,"['商务渠道', '市场营销', '市场招商', '市场推广', '全国区域']"
人工智能大客户经理,长沙,嘉德集团,100-499人,4-9K,3-5年,本科,['互联网/科技']
AI短视频营销顾问,长沙,湖南互动在线科技...,0-20人,4-9K,1年以内,大专,"['网络营销经验', '企业（To B）', '互联网/科技', '软件/企业服务产品', '网络销售', '不接受居家办公']"
数据科学家,长沙,某500强上市公司,500-999人,30-45K,经验不限,博士,['计算机相关专业']
拓维AI研究院院长,长沙,湖南拓维信创系统集成,1000-9999人,20-21K,3-5年,硕士,['研究导向']
人工智能实习生,长沙,华智生物,100-499人,4-6K,经验不限,硕士,"['语音/图像识别', 'Python', 'TensorFlow/PyTorch']"
AI应用高级工程师（SE）,长沙,国科微电子,500-999人,20-40K,3-5年,本科,['平台架构']
AI基础软件设计专家（训练）-长沙,长沙,沐曦,100-499人,25-50K·13薪,5-10年,本科,"['C/C++', 'TensorFlow/PyTorch']"
AI驱动开发工程师/AI应用开发工程师,长沙,航天捷诚,100-499人,13-25K·14薪,3-5年,本科,"['C++', 'Python', 'Linux', '驱动移植']"
ai高级产品经理,长沙,长沙途嘉网络科技,0-20人,15-25K,3-5年,本科,"['C端产品', 'chatGPT', 'AIGC']"
前段截流岗（头部项目 ）,长沙,升学桥,0-20人,6-11K,经验不限,大专,"['人工智能', '引流', 'AIGC']"
互联网软件销售（双休+五险一金+35%提成）,长沙,探迹,1000-9999人,15-20K,1-3年,大专,"['对企业/机构（To B）销售经验', '无经验要求', '企业（To B）', '互联网/科技', '软件/企业服务产品', '电话销售', '面销/陌拜', '五险一金', '双休']"
AI智能机器人渠道经理,长沙,擎朗智能,1000-9999人,15-30K,1-3年,大专,"['渠道/机构客户开发', '渠道关系维护', '代理商/经销商招募', '软件/SaaS', '硬件/网络设备', '较强的商务谈判能力', '具有线下渠道销售经验', '较强的渠道拓展能力']"
高校教师,长沙,某知名采掘公司,1000-9999人,35-45K,经验不限,博士,['博士学位']
高级ai工程师,长沙,觉醒电竞,20-99人,7-12K,1-3年,本科,"['语音/图像识别', '云计算', 'Java', 'MATLAB', 'TensorFlow/PyTorch', '机器学习算法/工程化经验', '深度学习经验', '英文读写能力良好', '电竞']"
测试专家（AI/图像算法测试）,长沙,万兴科技,1000-9999人,30-50K,5-10年,本科,"['算法测试', '图像/视频测试']"
AI高级开发工程师-总部,长沙,能信安,100-499人,30-60K,3-5年,硕士,"['C/C++', '人工智能安全', '深度学习', '计算机相关专业', 'chatgpt', '无明显侧重', '深度学习经验', 'Python', '数学/统计相关专业']"
AI工程师,长沙,康多多医药,20-99人,6-10K,1-3年,学历不限,['智能营销/广告']
AI架构师,长沙,某大型银行公司,500-999人,35-55K·15薪,5-10年,本科,['机器学习算法/工程化经验']
数字化转型技术副总,长沙,某知名机械设备公司,1000-9999人,50-80K·18薪,10年以上,博士,"['互联网', '人工智能', '产品研发', '技术创新', '300人以上', '数字化转型']"
AI人工智能算法工程师,长沙,抖医云播,20-99人,10-15K,3-5年,本科,"['业务导向', '搜索/推荐', '语音/图像识别', 'Java', 'Python', 'C/C++']"
运维负责人-大模型AI公司,长沙,某互联网公司,20-99人,30-50K·14薪,5-10年,本科,"['运维监控系统', 'K8S容器', '自动化测试工具']"
人工智能算法讲师,长沙,节点数智,20-99人,10-15K,3-5年,本科,"['CNN/RNN/LSTM', 'TensorFlow/PyTorch', '机器学习算法/工程化经验', '计算机相关专业', '业务导向', '深度学习经验', 'Python']"
人工智能技术带头人（博士）,长沙,某500强上市公司,10000人以上,25-50K,3-5年,博士,"['深度学习经验', '机器学习算法/工程化经验']"
售前解决方案架构师,长沙,天河国云,100-499人,12-20K,3-5年,本科,"['大数据', '人工智能', '区块链', '政务', '工业互联网']"
ai大数据算法工程师,长沙,君南,100-499人,15-20K,3-5年,大专,['GPT']
ai深度学习算法工程师,长沙,于一科技,20-99人,10-15K,经验不限,硕士,"['语音/图像识别', 'Python', 'TensorFlow/PyTorch', '数学/统计相关专业', '机器学习算法/工程化经验', '深度学习经验']"
技术部部长（工业互联网/人工智能等方向）,长沙,某500强上市公司,1000-9999人,45-75K,10年以上,硕士,"['工业互联网', '物联网', '人工智能、大数据']"
联合创始人,长沙,斐梵文化科技,0-20人,3-6K,经验不限,学历不限,"['互联网', '人工智能', '广告/传媒', '创业型', '1-20人', '从0-1搭建团队', '有自主创业经验', '自带团队']"
高性能AI推理工程师,长沙,视比特,100-499人,15-30K·14薪,5-10年,本科,"['C++', 'tensorflow']"
动画剪辑【兼职】,长沙,萤火工场,100-499人,6000-10000元/月,1-3年,大专,"['MG/3D动画', 'AE', 'Premiere', '特效', '合成', '接受兼职', 'ps', 'ai', '动画剪辑']"
人工智能开发工程师,长沙,九鼎图业,20-99人,15-30K,3-5年,大专,"['Python', 'TensorFlow/PyTorch', 'CNN/RNN/LSTM', '机器学习算法/工程化经验', '深度学习经验']"
AI智能科技推广业务员,长沙,湖南谦与亿电子商务,20-99人,6-8K,经验不限,高中,"['个人（To C）', '无经验要求', '互联网/科技', '公关/传媒', '电子商务', '其他产品/服务', '软件/企业服务产品', '网络销售', '面销/陌拜', '不接受居家办公']"
大模型算法,长沙,辰立科技,0-20人,13-18K,1-3年,本科,"['语音/图像识别', 'Python', 'TensorFlow/PyTorch', '计算机相关专业', '机器学习算法/工程化经验']"
人工智能&物联网高级工程师(J10341),长沙,中建五局研究院,20-99人,15-20K,5-10年,硕士,"['Java', 'Python', 'Shell', '分布式技术']"
智能算法与系统开发工程师,长沙,中电普信,100-499人,12-20K·15薪,3-5年,硕士,"['Python', '人工智能', '算法工程师', '机器学习']"
人工智能算法应用工程师,长沙,珠海泰芯半导体,100-499人,16-19K,经验不限,硕士,"['Pytorch', 'TensorFlow2']"
CV算法负责人/技术创新负责人（AI）,长沙,某500强上市公司,1000-9999人,140-200K,10年以上,本科,['业务导向']
初级算法测试程序员,长沙,波尔坤雷,20-99人,4-9K,经验不限,本科,"['英文读写能力良好', 'C++', 'C语言', '视觉图像算法', '计算机相关专业', '深度学习算法', 'MATLAB', 'C/C++', 'OpenCV', '人工智能', '算法设计', '业务导向', 'Matlab']"
ai数据标注,长沙,麦睛科技,100-499人,4-8K,1-3年,大专,"['数据标注', '全职工作', '接受加班', '分类标注', '图片标注']"
ai产品经理,长沙,某大型知名批发公司,10000人以上,25-40K·15薪,5-10年,本科,['不限']
AI软件销售,长沙,乐言科技,1000-9999人,12-24K,1-3年,大专,"['商务专员', '对企业/机构（To B）销售经验', '面销/陌拜经验', '面销', '线下推广', '地面推广', '面销/陌拜', '软件/企业服务产品', '地推', '企业（To B）', '销售专员', 'BD经理', '电子商务']"
数据标注/AI训练师,长沙,宁翔科技,0-20人,3-5K,经验不限,学历不限,"['数据标注', '视频标注', '数据分析能力强', '标注结果抽查', '区域标注', '接受居家办公', '图片标注', '接受加班', '文本标注', '全职工作', '描点标注', '标注方法优化', '标框标注']"
人工智能专家,长沙,中兴通讯,10000人以上,20-40K·16薪,经验不限,硕士,"['英文读写能力良好', '搜索/推荐', 'TensorFlow/PyTorch', '机器学习算法/工程化经验', '语音/图像识别', '业务导向', '深度学习经验', 'Python']"
机器学习,长沙,长沙欧卡,20-99人,10-15K,经验不限,硕士,"['语音/图像识别', 'Python', '计算机相关专业', '机器学习算法/工程化经验']"
生物医学线上学术兼职,长沙,医智行,20-99人,2-5K,经验不限,博士,"['中医药相关专业', '临床医学相关专业', 'SCI刊物发表经验']"
拍摄、剪辑,长沙,一同工程,0-20人,5-10K,经验不限,学历不限,"['MG/3D动画', '短视频', '剪辑', '合成', '音乐', '接受兼职']"
人工智能算法工程师（周末双休+五险一金）,长沙,湖南博创高新实业,100-499人,15-30K,3-5年,本科,"['OpenCV', '深度学习经验', '机器学习算法/工程化经验', '人工智能', '神经网络算法', '大模型']"
平面设计兼职,长沙,谢谢你品牌设计,0-20人,1-2K,经验不限,学历不限,"['人工智能', '平面设计', '包装设计', 'PhotoShop', 'AI软件', '设计师', '品牌设计', '手绘']"
互联网技术合伙人（创业联合创始人）,长沙,快贝科技,20-99人,10-15K,3-5年,大专,"['互联网', '人工智能', '教育', '创业型', '从0-1搭建团队', '有自主创业经验', '自带团队']"
数据标注/AI训练师,长沙,熠昇科技,20-99人,4-5K,1-3年,大专,"['全职工作', '数据标注', '图片标注', '标框标注']"
互联网技术合伙人（创业岗位）,长沙,幸福家智慧家庭教育,20-99人,10-15K,3-5年,大专,"['互联网', '人工智能', '教育', '事业端', '产品研发', '从0-1搭建团队', '有自主创业经验', '自带团队']"
人社技能培训创始人,长沙,联厚文化,20-99人,5-10K,1-3年,大专,"['人工智能', '政府', '教育', '创业型', '1-20人', '从0-1搭建团队', '有自主创业经验', '自带团队', '注册会计师证书', '人力资源管理师三级', '国家专利代理人资格证书', '人社培训', '技能培训', '考证']"
棋牌服务器AI工程师,长沙,湖南旗合网络科技,0-20人,18-20K,1-3年,本科,"['后端', 'Node.js', 'JavaScript/TypeScript', '棋牌游戏']"
自动驾驶系统工程师,长沙,某500强上市公司,10000人以上,20-30K,3-5年,本科,"['C++', 'Python', 'MySQL']"
自动驾驶算法工程师,长沙,希迪智驾,100-499人,15-25K·13薪,1-3年,硕士,"['视觉图像算法', '运动控制算法', '机器学习算法', 'ADAS开发', 'C++', '自动驾驶', '深度学习算法', '决策规划算法']"
物联网产品经理,长沙,万为机器人,20-99人,12-15K,3-5年,本科,"['物联网产品', '社区产品', '智能硬件', '电梯']"
电商美工（AI绘图）,长沙,淑臣,20-99人,4-7K,1-3年,大专,"['天猫', 'AI', '不接受居家办公', '女装']"
Python算法工程师(J10200),长沙,遨森电商,1000-9999人,15-25K·13薪,3-5年,本科,"['爬虫', '机器学习/算法工程', 'Python', '计算机相关专业', '爬虫经验']"
AI深度学习算法工程师,长沙,雄帝科技,500-999人,15-30K,3-5年,硕士,"['CNN/RNN/LSTM', '语音/图像识别', '深度学习经验', 'Python']"
司法审计,长沙,拓普特斯科技有限公司,0-20人,5-8K,1-3年,本科,"['代理记账公司', '内部审计', '人工智能', '大数据', '中级会计师', '国际类会计资格']"
人工智能工程师,长沙,千马软件,0-20人,10-15K·13薪,1-3年,本科,"['人工智能', 'AI', '大模型开发', 'Python', 'GPT', 'ChatGLM', 'Llama']"
文本标注项目经理（驻场）,长沙,镁拓科技,20-99人,4-5K,1-3年,大专,"['企业内部技术项目管理', '数据采集标注管理']"
智能驾驶工程师,长沙,某500强上市公司,10000人以上,20-21K,1-3年,本科,['Python']
创业合伙人/联合创始人,长沙,云玩家,0-20人,30-35K,5-10年,本科,"['互联网', '人工智能', '游戏', '创业型', '不带团队', '从0-1搭建团队']"
联合创始人,长沙,赣州开源物流,0-20人,30-60K,1年以内,学历不限,"['互联网', '人工智能', '电商', '创业型']"
关口表博士,长沙,威胜集团,1000-9999人,35-65K·15薪,经验不限,博士,"['算法设计', '区块链', '大数据', '人工智能']"
技术部部长,长沙,某500强上市公司,10000人以上,70-100K,10年以上,硕士,"['物联网', '人工智能', '大数据', '机械制造', '计算机科学', '大型企事业单位', '工业园区']"
机器人销售经理,长沙,湖南智典蔚蓝科技,20-99人,12-20K,1-3年,大专,"['企业（To B）', '对企业/机构（To B）销售经验', '电话销售经验', '面销/陌拜经验', '互联网/科技', '先进制造', '招商/商户拓展类服务', '软件/企业服务产品', '电话销售', '面销/陌拜', '大客户销售', '陌拜', '互联网销售', '全国区域', '餐饮销售', '地推销售', '面销', '高级销售']"
高级ai工程师,长沙,湖南设计,1000-9999人,25-35K,3-5年,硕士,"['Python', 'TensorFlow/PyTorch']"
视觉算法工程师(J10826),长沙,楚天科技股份有限公司,1000-9999人,20-40K·13薪,经验不限,本科,['机器学习算法/工程化经验']
ai算法工程师,长沙,创研股份,100-499人,13-16K·13薪,3-5年,本科,"['AI数字人开发', 'chatGPT']"
儿童风格设计师（双休+五险一金）,长沙,长沙探月科技有限公司,100-499人,7-12K·14薪,1-3年,本科,"['游戏相关插画', '平面设计', '积极主动', '抗压']"
银行-系统规划岗（对标他行架构师）,长沙,某银行公司,20-99人,20-40K,5-10年,本科,"['微服务架构', '分布式技术']"
研发助理工程师,长沙,睿图智能,20-99人,5-10K,1-3年,本科,"['人工智能', '视觉图像算法', '深度学习算法', 'Python', 'TensorFlow', 'QT', 'C#', 'C语言']"
电气-机械CAD-土木等理工科编辑写手,长沙,君嘉,0-20人,5-6K,经验不限,大专,"['机电相关专业', '擅长AutoCAD', '熟悉PLC编程', 'CAD绘图，单片机，PLC']"
AI算法工程师,长沙,澄科,20-99人,11-18K,3-5年,硕士,"['深度学习', '机器学习']"
知识建模博士,长沙,某大型知名机械设备上市公司,10000人以上,40-45K,5-10年,博士,['知识图谱']
人工智能算法工程师,长沙,北锐人工智能科技,20-99人,15-30K,3-5年,本科,"['搜索/推荐', '智能营销/广告', 'Python', 'C/C++', '计算机相关专业', '机器学习算法/工程化经验']"
python开发工程师,长沙,云河信息,20-99人,8-13K,3-5年,大专,"['机器学习/算法工程', 'Python', '人工智能', '机器人']"
技术文档工程师,长沙,超能机器人,100-499人,12-16K·13薪,1-3年,硕士,"['机器人', '工程师']"
项目合伙人,长沙,大数时代科技有限公司,0-20人,15-20K,3-5年,大专,"['个人（To C）', '教育培训', '课程/培训类产品', '合伙人', '数学老师']"
数字孪生研发工程师,长沙,千盟智能,20-99人,11-18K,1-3年,本科,"['Unity3D', 'C#', '计算机/软件工程相关专业']"
AI算法工程师,长沙,芒果幻视,100-499人,15-30K,3-5年,硕士,"['业务导向', '语音/图像识别']"
大区总监(创业合伙人),长沙,创视超媒,100-499人,20-21K,1-3年,大专,"['人工智能', '事业端']"
中南区地铁集团和政府关系副总裁（长沙资源,长沙,某知名计算机软件上市公司,1000-9999人,25-50K·20薪,10年以上,本科,"['互联网', '人工智能', '制造业', '市场营销', '政府关系', '销售管理']"
国内专利代理人（通信领域）-P3,长沙,中博世达,100-499人,15-30K,3-5年,本科,"['专利代理人', '专利代理', '人工智能', '通信/网络设备']"
产业研究,长沙,戈诗美科技,0-20人,8-12K,3-5年,本科,"['企业战略咨询', '企业文化咨询', '市场研究', '人工智能', '管理咨询', '咨询领域', '直播', '计算机软件']"
直播运营（知识付费/双休）,长沙,湖南欣宸,20-99人,6-8K,1-3年,大专,"['不接受居家办公', '授课直播', '抖音（抖音火山）', '聊天直播', '推广引流']"
政府事务高级经理(地方智能云方向),长沙,红手指,100-499人,15-20K·15薪,5-10年,本科,"['政策整理与分析', '政府机构工作经验', '政府关系工作经验', '公文处理能力']"
人工智能开发工程师,长沙,松佰商城,20-99人,18-22K,5-10年,本科,"['机器学习算法/工程化经验', '计算机相关专业', '深度学习经验', 'Python']"
猎头助理顾问（长沙）六险一金+周末双休,长沙,FMC,100-499人,5-8K,1-3年,本科,"['招聘', '销售', '打电话']"
智能驾驶工程师,长沙,某500强上市公司,10000人以上,20-21K,经验不限,硕士,"['Python', 'C/C++', '智能驾驶', '人工智能、机器学习']"
教育合伙人,长沙,长沙习文教育,0-20人,30-60K,5-10年,本科,"['咨询', '人工智能', '教育']"
ai图像算法工程师,长沙,致同科技,20-99人,30-40K,5-10年,本科,"['图像识别经验', '计算机相关专业', '数学/统计相关专业']"
联合创始人,长沙,湖南振道科技有限公司,0-20人,5-8K,1-3年,本科,"['市场营销', '事业端', '有当地代理商资源', '不带团队', '教育', '人工智能', '互联网', '销售管理', '物联网', '有政府资源', '人力资源管理师三级', '信息化']"
解决方案专家,长沙,渊亭科技,100-499人,20-35K,5-10年,本科,"['招投标经验', '国防', '人工智能', '维护客户关系']"
联合创始人,长沙,千客传媒,20-99人,20-21K,5-10年,高中,"['互联网', '人工智能', '政府', '事业端', '市场营销', '21-50人', '有自主创业经验', '有当地代理商资源', '有政府资源', '法律从业资格证', '注册会计师证书', '人力资源管理师三级']"
AI算法工程师,长沙,长城银河,100-499人,11-22K,1-3年,本科,"['AI算法', '芯片']"
自动驾驶系统开发工程师,长沙,某500强上市公司,10000人以上,20-35K·15薪,3-5年,本科,"['python', 'C++', '激光雷达']"
托管合伙人加中高考加自习室,长沙,步云时代,0-20人,4-6K,1年以内,大专,"['全职', '公立学校', '私立学校', '培训机构', '线下教育', '线上教育', '互联网公司经验', '互联网教育平台使用', '直播经验', '坐班', '教学管理', '学习顾问', '教学法研发与培训', '大班教学（25人以上）', '小班教学（3-25人）', '一对一教学', '成人教育就业培训', '大学生就业', '人力资源专业背景', '培训机构就业服务经验', '教育学专业背景', '销售经验', '大学英语四级', '教师资格证']"
乐高机器人教师,长沙,领动乐高机器人教育,100-499人,6-11K,经验不限,本科,"['教师', '早教', '助教', '线下授课', '乐高教育', 'steam', 'scratch编程', '人工智能']"
乐高老师,长沙,长沙市岳麓区启智...,20-99人,5-10K,1-3年,大专,"['销售经验', '机器人', '教师', '小班教学（3-25人）', '线下教育', '线上教育', '教育培训', '线下授课', '幼儿教育工作经验', '全职兼职均可', '大型教育机构经验', '坐班', '理工科教育背景', '中学生', '早教幼教', '编程', '学前儿童/小学生', '早教']"
智库研究人员（技术背景）,长沙,北京大学长沙计算...,100-499人,12-24K·15薪,1-3年,硕士,"['先进制造', '互联网/科技', '宏观经济研究']"
智能驾驶研发工程师,长沙,CIDI,100-499人,15-25K,经验不限,硕士,"['算法设计', '应用开发', '人工智能']"
ai图像算法工程师,长沙,某知名医疗健康上市公司,1000-9999人,20-30K,5-10年,本科,"['TensorFlow/PyTorch', 'C/C++', 'Python']"
新媒体公众号运营,长沙,太字流动科技,20-99人,3-5K·13薪,经验不限,本科,['公众号/朋友圈运营']
高级机器视觉光学工程师,长沙,湖南亮视嘉生物科技,20-99人,15-30K·24薪,3-5年,本科,"['物理诊断器具', '分析仪器', '影像类', '结构', '软件', '硬件', '光学专业', '精密仪器专业', '软件专业', 'Pro/E', 'SolidWorks', 'CAD', '光学系统分析设计，激光治疗技术', '哈特曼-夏克原理', '算法']"
人工智能工程师,长沙,佳讯飞鸿,100-499人,18-30K,3-5年,本科,"['CNN', 'PyTorch', '视频算法', '视觉图像算法', 'Caffe', 'Keras', '深度学习算法', '语音/图像识别', '业务导向', 'TensorFlow']"
高级售前工程师,长沙,宇天仿真,100-499人,15-25K,3-5年,本科,"['计算机/通信相关专业', '售前技术支持经验']"
c语言工程师,长沙,长沙市万国鑫通信,0-20人,5-8K,经验不限,本科,"['C语言', '人工智能']"
c++软件工程师,长沙,某矿产公司,20-99人,20-30K,3-5年,大专,"['C++', 'C语言', '计算机相关专业', 'Qt项目开发经验']"
saas软件销售（8-20k）,长沙,阿里巴巴集团,10000人以上,6-11K,经验不限,大专,"['客户拜访', '客户开发', '企业服务', '电子商务', '互联网/科技', '企业/机构（To B）']"
方向负责人（博士） （3名）,长沙,华通长沙分,20-99人,18-35K·13薪,3-5年,博士,"['深度学习算法', '视觉图像算法', '算法设计', '机器学习算法', 'Python', 'C++', '自然语言处理', '人工智能']"
图像算法工程师-自动驾驶系统,长沙,中联重科,10000人以上,14-24K,3-5年,硕士,"['C/C++', 'Python']"
总经理助理,长沙,长目信息,500-999人,5-10K,1-3年,本科,"['企业', '互联网/科技', '企业服务', '较少出差和外勤', '销售管理经验', '对机构（To B）销售经验', '团队管理能力', '营销能力', '商务谈判能力', '15人（含）以上', '电销团队']"
ai算法工程师,长沙,警云智慧,100-499人,9-14K,3-5年,本科,"['C/C++', 'Python', 'CNN/RNN', '计算机相关专业', 'ISP/3A算法经验', '人脸识别经验']"
AI工程师,长沙,天闻数媒科技,100-499人,25-50K,3-5年,本科,"['业务导向', '语音/图像识别', 'TensorFlow/PyTorch']"
