job,city,company,people,salary,experience,education,skill

AI人工智能开发工程师,上海·黄浦区·人民广场,深众科技,100-499人,20-25K·14薪,1-3年,硕士,"TensorFlow, 人工智能, 机器人, 物联网, PyTorch, Caffe, Keras, Theano"

AI测评工程师（人工智能方向）,上海·浦东新区·金桥,华为,10000人以上,20-40K·14薪,经验不限,本科,"AI算法, 人工智能"

AI人工智能产品经理,上海·浦东新区·临港,天机智成,20-99人,20-40K,经验不限,本科,"产品设计, Axure, Visio, 人工智能, 智能硬件, 机器人"

AI人工智能产品设计,上海·闵行区·古美,上海合壹未来文化科技,100-499人,15-20K,5-10年,本科,"语义类AI, 机器学习类AI"

远程AI人工智能实习生,上海·浦东新区·陆家嘴,千际投资,0-20人,10-100元/天,4天/周,硕士,"自然语言处理, 深度学习算法, 推荐算法, 搜索算法, 广告算法, 机器学习算法, Python, SQL"

AI人工智能算法工程师,上海·浦东新区·周浦,酷螺科技(软件开发),20-99人,8-13K,经验不限,本科,"Python, TensorFlow, PyTorch, 计算机相关专业, 自然语言处理项目经验, 数学/统计相关专业"

AI人工智能算法工程师,上海·虹口区·曲阳,上海和平眼科医院,100-499人,15-30K,经验不限,硕士,"生物医疗, Python, Java, TensorFlow/PyTorch, 计算机相关专业"

人工智能AI产品经理讲师,上海·长宁区·天山,深启教育科技,20-99人,20-40K,3-5年,本科,AI产品经理

AI人工智能算法工程师,上海·松江区·石湖荡,上海大风,100-499人,25-50K,3-5年,本科,"算法设计, 深度学习算法, 视觉图像算法, Python, TensorFlow, PyTorch"

AI人工智能开发工程师,上海·徐汇区·斜土路,上海明晟影业,0-20人,20-21K,经验不限,本科,"语音/图像识别, Java, Python, Hadoop/Hive/Spark, 计算机相关专业, 机器学习算法/工程化经验"

人工智能AI助教（可兼职）,上海·浦东新区·川沙,咕泡科技,100-499人,10-15K,经验不限,博士,"语音/图像识别, Python, MATLAB, OpenCV"

AI人工智能行业分析实习生,上海·静安区·彭浦镇,扫描全能王,500-999人,150-300元/天,5天/周,本科,"业务数据分析, 业务模式/运营策略优化, 数据分析/商业分析经验"

AI人工智能算法工程师-00006,上海·闵行区·浦江,盟识科技,20-99人,25-45K·13薪,3-5年,硕士,"C++, Python, 算法设计, 深度学习算法, 机器学习算法, 视觉图像算法, TensorFlow, PyTorch"

人工智能AI软件设计工程师,上海·闵行区·莘庄,朴维自控,20-99人,15-30K,3-5年,本科,研究导向

ai算法工程师、人工智能、软件开发,上海·浦东新区·金桥,上海华为技术有限公司,10000人以上,14-25K,经验不限,本科,"Java, Python, C/C++, AI, 华为"

AI人工智能开发工程师（Python）,上海·杨浦区·延吉,英仕健康,20-99人,20-30K·13薪,经验不限,本科,"Python, chatgpt, ChatGLM"

人工智能AI研发产品管理实习生,上海·静安区·静安寺,上海帅笑网络科技...,100-499人,400-800元/天,2天/周,本科,"语义类AI, AI机器人, 机器学习类AI, 语音类AI, 视觉类AI, 智能汽车, 智能穿戴, AI芯片"

前端开发工程师（ai人工智能）,上海·徐汇区·龙华,迈思信息,1000-9999人,12-15K,1-3年,本科,"HTML5, CSS, React"

AI人工智能技术工程师CTO（合伙人）,上海·浦东新区·陆家嘴,川富资本,20-99人,35-40K,3-5年,本科,"深度学习, 机器学习, 计算机语言处理技术"

AI人工智能研发兼总裁助理-应届或工作均可,上海·闵行区·七宝,锡鼎,100-499人,12-24K,经验不限,本科,"计算机相关专业, 机器学习算法/工程化经验, 深度学习经验, 人工智能, 研发, 985"

人工智能 工程师,上海·静安区·曹家渡,老果树,0-20人,15-30K,经验不限,硕士,"数据挖掘, 数据分析, 深度学习算法, Python, C++, 游戏"

人工智能,上海·静安区·汶水路,通办服务,500-999人,8-10K·13薪,1-3年,大专,"智能问答客服运营, 政务服务"

人工智能专家,上海·徐汇区·漕河泾,上海举父,20-99人,15-25K,1-3年,硕士,"人工智能, TensorFlow, PyTorch, 视觉图像算法, 深度学习算法, Python, 物联网"

人工智能专家,上海·闵行区·虹梅路,北京字节跳动,10000人以上,30-60K,3-5年,本科,"Python, C++, Java, Go, TensorFlow"

AI人工智能总监,上海·徐汇区·万体馆,幻霄科技,100-499人,60-90K,5-10年,硕士,"云计算, OpenCV, 机器学习算法/工程化经验, 计算机相关专业, Caffe"

AI人工智能工程师,上海·杨浦区·新江湾城,沛岱汽车,20-99人,25-30K·16薪,经验不限,硕士,"点云, 3D模型"

ai人工智能工程师,上海·浦东新区·临港,臭皮匠机器人,0-20人,300-500元/天,3天/周,硕士,"Python, C/C++, TensorFlow/PyTorch"

AI人工智能平台软件销售,上海·闵行区·吴泾,MoPaaS 魔泊云,20-99人,12-24K,1-3年,大专,"电话销售, 面销/陌拜, 政府/社会团体, 软件/企业服务产品, 对企业/机构（To B）销售经验, 网络销售, 企业（To B）, 面销/陌拜经验, 电话销售经验, 互联网/科技"

ai实习生/人工智能回答实习生,上海·浦东新区·张江,优司服,20-99人,130-150元/天,5天/周,本科,"计算机相关专业, 机器学习算法/工程化经验, 搜索, 人工智能问答"

AI人工智能工程师,上海·闵行区·吴泾,兰鹤,0-20人,40-70K·16薪,3-5年,本科,"深度学习算法, 自然语言处理, 推荐算法, 视觉图像算法, 人工智能"

AI人工智能开发工程师,上海·黄浦区·人民广场,深众科技,100-499人,20-25K·14薪,1-3年,硕士,"TensorFlow, 人工智能, 机器人, 物联网, PyTorch, Caffe, Keras, Theano"

AI测评工程师（人工智能方向）,上海·浦东新区·金桥,华为,10000人以上,20-40K·14薪,经验不限,本科,"AI算法, 人工智能"

AI人工智能产品经理,上海·浦东新区·临港,天机智成,20-99人,20-40K,经验不限,本科,"产品设计, Axure, Visio, 人工智能, 智能硬件, 机器人"

AI人工智能产品设计,上海·闵行区·古美,上海合壹未来文化科技,100-499人,15-20K,5-10年,本科,"语义类AI, 机器学习类AI"

远程AI人工智能实习生,上海·浦东新区·陆家嘴,千际投资,0-20人,10-100元/天,4天/周,硕士,"自然语言处理, 深度学习算法, 推荐算法, 搜索算法, 广告算法, 机器学习算法, Python, SQL"

AI人工智能算法工程师,上海·浦东新区·周浦,酷螺科技(软件开发),20-99人,8-13K,经验不限,本科,"Python, TensorFlow, PyTorch, 计算机相关专业, 自然语言处理项目经验, 数学/统计相关专业"

AI人工智能算法工程师,上海·虹口区·曲阳,上海和平眼科医院,100-499人,15-30K,经验不限,硕士,"生物医疗, Python, Java, TensorFlow/PyTorch, 计算机相关专业"

人工智能AI产品经理讲师,上海·长宁区·天山,深启教育科技,20-99人,20-40K,3-5年,本科,AI产品经理

AI人工智能算法工程师,上海·松江区·石湖荡,上海大风,100-499人,25-50K,3-5年,本科,"算法设计, 深度学习算法, 视觉图像算法, Python, TensorFlow, PyTorch"

AI人工智能开发工程师,上海·徐汇区·斜土路,上海明晟影业,0-20人,20-21K,经验不限,本科,"语音/图像识别, Java, Python, Hadoop/Hive/Spark, 计算机相关专业, 机器学习算法/工程化经验"

人工智能AI助教（可兼职）,上海·浦东新区·川沙,咕泡科技,100-499人,10-15K,经验不限,博士,"语音/图像识别, Python, MATLAB, OpenCV"

AI人工智能行业分析实习生,上海·静安区·彭浦镇,扫描全能王,500-999人,150-300元/天,5天/周,本科,"业务数据分析, 业务模式/运营策略优化, 数据分析/商业分析经验"

AI人工智能算法工程师-00006,上海·闵行区·浦江,盟识科技,20-99人,25-45K·13薪,3-5年,硕士,"C++, Python, 算法设计, 深度学习算法, 机器学习算法, 视觉图像算法, TensorFlow, PyTorch"

人工智能AI软件设计工程师,上海·闵行区·莘庄,朴维自控,20-99人,15-30K,3-5年,本科,研究导向

ai算法工程师、人工智能、软件开发,上海·浦东新区·金桥,上海华为技术有限公司,10000人以上,14-25K,经验不限,本科,"Java, Python, C/C++, AI, 华为"

AI人工智能开发工程师（Python）,上海·杨浦区·延吉,英仕健康,20-99人,20-30K·13薪,经验不限,本科,"Python, chatgpt, ChatGLM"

人工智能AI研发产品管理实习生,上海·静安区·静安寺,上海帅笑网络科技...,100-499人,400-800元/天,2天/周,本科,"语义类AI, AI机器人, 机器学习类AI, 语音类AI, 视觉类AI, 智能汽车, 智能穿戴, AI芯片"

前端开发工程师（ai人工智能）,上海·徐汇区·龙华,迈思信息,1000-9999人,12-15K,1-3年,本科,"HTML5, CSS, React"

AI人工智能技术工程师CTO（合伙人）,上海·浦东新区·陆家嘴,川富资本,20-99人,35-40K,3-5年,本科,"深度学习, 机器学习, 计算机语言处理技术"

AI人工智能研发兼总裁助理-应届或工作均可,上海·闵行区·七宝,锡鼎,100-499人,12-24K,经验不限,本科,"计算机相关专业, 机器学习算法/工程化经验, 深度学习经验, 人工智能, 研发, 985"

人工智能 工程师,上海·静安区·曹家渡,老果树,0-20人,15-30K,经验不限,硕士,"数据挖掘, 数据分析, 深度学习算法, Python, C++, 游戏"

人工智能,上海·静安区·汶水路,通办服务,500-999人,8-10K·13薪,1-3年,大专,"智能问答客服运营, 政务服务"

人工智能专家,上海·徐汇区·漕河泾,上海举父,20-99人,15-25K,1-3年,硕士,"人工智能, TensorFlow, PyTorch, 视觉图像算法, 深度学习算法, Python, 物联网"

人工智能专家,上海·闵行区·虹梅路,北京字节跳动,10000人以上,30-60K,3-5年,本科,"Python, C++, Java, Go, TensorFlow"

AI人工智能总监,上海·徐汇区·万体馆,幻霄科技,100-499人,60-90K,5-10年,硕士,"云计算, OpenCV, 机器学习算法/工程化经验, 计算机相关专业, Caffe"

AI人工智能工程师,上海·杨浦区·新江湾城,沛岱汽车,20-99人,25-30K·16薪,经验不限,硕士,"点云, 3D模型"

ai人工智能工程师,上海·浦东新区·临港,臭皮匠机器人,0-20人,300-500元/天,3天/周,硕士,"Python, C/C++, TensorFlow/PyTorch"

AI人工智能平台软件销售,上海·闵行区·吴泾,MoPaaS 魔泊云,20-99人,12-24K,1-3年,大专,"电话销售, 面销/陌拜, 政府/社会团体, 软件/企业服务产品, 对企业/机构（To B）销售经验, 网络销售, 企业（To B）, 面销/陌拜经验, 电话销售经验, 互联网/科技"

ai实习生/人工智能回答实习生,上海·浦东新区·张江,优司服,20-99人,130-150元/天,5天/周,本科,"计算机相关专业, 机器学习算法/工程化经验, 搜索, 人工智能问答"

AI人工智能工程师,上海·闵行区·吴泾,兰鹤,0-20人,40-70K·16薪,3-5年,本科,"深度学习算法, 自然语言处理, 推荐算法, 视觉图像算法, 人工智能"

AI人工智能开发工程师,上海·黄浦区·人民广场,深众科技,100-499人,20-25K·14薪,1-3年,硕士,"TensorFlow, 人工智能, 机器人, 物联网, PyTorch, Caffe, Keras, Theano"

AI测评工程师（人工智能方向）,上海·浦东新区·金桥,华为,10000人以上,20-40K·14薪,经验不限,本科,"AI算法, 人工智能"

AI人工智能产品经理,上海·浦东新区·临港,天机智成,20-99人,20-40K,经验不限,本科,"产品设计, Axure, Visio, 人工智能, 智能硬件, 机器人"

AI人工智能产品设计,上海·闵行区·古美,上海合壹未来文化科技,100-499人,15-20K,5-10年,本科,"语义类AI, 机器学习类AI"

远程AI人工智能实习生,上海·浦东新区·陆家嘴,千际投资,0-20人,10-100元/天,4天/周,硕士,"自然语言处理, 深度学习算法, 推荐算法, 搜索算法, 广告算法, 机器学习算法, Python, SQL"

AI人工智能算法工程师,上海·浦东新区·周浦,酷螺科技(软件开发),20-99人,8-13K,经验不限,本科,"Python, TensorFlow, PyTorch, 计算机相关专业, 自然语言处理项目经验, 数学/统计相关专业"

AI人工智能算法工程师,上海·虹口区·曲阳,上海和平眼科医院,100-499人,15-30K,经验不限,硕士,"生物医疗, Python, Java, TensorFlow/PyTorch, 计算机相关专业"

人工智能AI产品经理讲师,上海·长宁区·天山,深启教育科技,20-99人,20-40K,3-5年,本科,AI产品经理

AI人工智能算法工程师,上海·松江区·石湖荡,上海大风,100-499人,25-50K,3-5年,本科,"算法设计, 深度学习算法, 视觉图像算法, Python, TensorFlow, PyTorch"

AI人工智能开发工程师,上海·徐汇区·斜土路,上海明晟影业,0-20人,20-21K,经验不限,本科,"语音/图像识别, Java, Python, Hadoop/Hive/Spark, 计算机相关专业, 机器学习算法/工程化经验"

人工智能AI助教（可兼职）,上海·浦东新区·川沙,咕泡科技,100-499人,10-15K,经验不限,博士,"语音/图像识别, Python, MATLAB, OpenCV"

AI人工智能行业分析实习生,上海·静安区·彭浦镇,扫描全能王,500-999人,150-300元/天,5天/周,本科,"业务数据分析, 业务模式/运营策略优化, 数据分析/商业分析经验"

AI人工智能算法工程师-00006,上海·闵行区·浦江,盟识科技,20-99人,25-45K·13薪,3-5年,硕士,"C++, Python, 算法设计, 深度学习算法, 机器学习算法, 视觉图像算法, TensorFlow, PyTorch"

人工智能AI软件设计工程师,上海·闵行区·莘庄,朴维自控,20-99人,15-30K,3-5年,本科,研究导向

ai算法工程师、人工智能、软件开发,上海·浦东新区·金桥,上海华为技术有限公司,10000人以上,14-25K,经验不限,本科,"Java, Python, C/C++, AI, 华为"

AI人工智能开发工程师（Python）,上海·杨浦区·延吉,英仕健康,20-99人,20-30K·13薪,经验不限,本科,"Python, chatgpt, ChatGLM"

人工智能AI研发产品管理实习生,上海·静安区·静安寺,上海帅笑网络科技...,100-499人,400-800元/天,2天/周,本科,"语义类AI, AI机器人, 机器学习类AI, 语音类AI, 视觉类AI, 智能汽车, 智能穿戴, AI芯片"

前端开发工程师（ai人工智能）,上海·徐汇区·龙华,迈思信息,1000-9999人,12-15K,1-3年,本科,"HTML5, CSS, React"

AI人工智能技术工程师CTO（合伙人）,上海·浦东新区·陆家嘴,川富资本,20-99人,35-40K,3-5年,本科,"深度学习, 机器学习, 计算机语言处理技术"

AI人工智能研发兼总裁助理-应届或工作均可,上海·闵行区·七宝,锡鼎,100-499人,12-24K,经验不限,本科,"计算机相关专业, 机器学习算法/工程化经验, 深度学习经验, 人工智能, 研发, 985"

人工智能 工程师,上海·静安区·曹家渡,老果树,0-20人,15-30K,经验不限,硕士,"数据挖掘, 数据分析, 深度学习算法, Python, C++, 游戏"

人工智能,上海·静安区·汶水路,通办服务,500-999人,8-10K·13薪,1-3年,大专,"智能问答客服运营, 政务服务"

人工智能专家,上海·徐汇区·漕河泾,上海举父,20-99人,15-25K,1-3年,硕士,"人工智能, TensorFlow, PyTorch, 视觉图像算法, 深度学习算法, Python, 物联网"

人工智能专家,上海·闵行区·虹梅路,北京字节跳动,10000人以上,30-60K,3-5年,本科,"Python, C++, Java, Go, TensorFlow"

AI人工智能总监,上海·徐汇区·万体馆,幻霄科技,100-499人,60-90K,5-10年,硕士,"云计算, OpenCV, 机器学习算法/工程化经验, 计算机相关专业, Caffe"

AI人工智能工程师,上海·杨浦区·新江湾城,沛岱汽车,20-99人,25-30K·16薪,经验不限,硕士,"点云, 3D模型"

ai人工智能工程师,上海·浦东新区·临港,臭皮匠机器人,0-20人,300-500元/天,3天/周,硕士,"Python, C/C++, TensorFlow/PyTorch"

AI人工智能平台软件销售,上海·闵行区·吴泾,MoPaaS 魔泊云,20-99人,12-24K,1-3年,大专,"电话销售, 面销/陌拜, 政府/社会团体, 软件/企业服务产品, 对企业/机构（To B）销售经验, 网络销售, 企业（To B）, 面销/陌拜经验, 电话销售经验, 互联网/科技"

ai实习生/人工智能回答实习生,上海·浦东新区·张江,优司服,20-99人,130-150元/天,5天/周,本科,"计算机相关专业, 机器学习算法/工程化经验, 搜索, 人工智能问答"

AI人工智能工程师,上海·闵行区·吴泾,兰鹤,0-20人,40-70K·16薪,3-5年,本科,"深度学习算法, 自然语言处理, 推荐算法, 视觉图像算法, 人工智能"

AI人工智能开发工程师,上海·黄浦区·人民广场,深众科技,100-499人,20-25K·14薪,1-3年,硕士,"TensorFlow, 人工智能, 机器人, 物联网, PyTorch, Caffe, Keras, Theano"

AI测评工程师（人工智能方向）,上海·浦东新区·金桥,华为,10000人以上,20-40K·14薪,经验不限,本科,"AI算法, 人工智能"

AI人工智能产品经理,上海·浦东新区·临港,天机智成,20-99人,20-40K,经验不限,本科,"产品设计, Axure, Visio, 人工智能, 智能硬件, 机器人"

AI人工智能产品设计,上海·闵行区·古美,上海合壹未来文化科技,100-499人,15-20K,5-10年,本科,"语义类AI, 机器学习类AI"

远程AI人工智能实习生,上海·浦东新区·陆家嘴,千际投资,0-20人,10-100元/天,4天/周,硕士,"自然语言处理, 深度学习算法, 推荐算法, 搜索算法, 广告算法, 机器学习算法, Python, SQL"

AI人工智能算法工程师,上海·浦东新区·周浦,酷螺科技(软件开发),20-99人,8-13K,经验不限,本科,"Python, TensorFlow, PyTorch, 计算机相关专业, 自然语言处理项目经验, 数学/统计相关专业"

AI人工智能算法工程师,上海·虹口区·曲阳,上海和平眼科医院,100-499人,15-30K,经验不限,硕士,"生物医疗, Python, Java, TensorFlow/PyTorch, 计算机相关专业"

人工智能AI产品经理讲师,上海·长宁区·天山,深启教育科技,20-99人,20-40K,3-5年,本科,AI产品经理

AI人工智能算法工程师,上海·松江区·石湖荡,上海大风,100-499人,25-50K,3-5年,本科,"算法设计, 深度学习算法, 视觉图像算法, Python, TensorFlow, PyTorch"

AI人工智能开发工程师,上海·徐汇区·斜土路,上海明晟影业,0-20人,20-21K,经验不限,本科,"语音/图像识别, Java, Python, Hadoop/Hive/Spark, 计算机相关专业, 机器学习算法/工程化经验"

人工智能AI助教（可兼职）,上海·浦东新区·川沙,咕泡科技,100-499人,10-15K,经验不限,博士,"语音/图像识别, Python, MATLAB, OpenCV"

AI人工智能行业分析实习生,上海·静安区·彭浦镇,扫描全能王,500-999人,150-300元/天,5天/周,本科,"业务数据分析, 业务模式/运营策略优化, 数据分析/商业分析经验"

AI人工智能算法工程师-00006,上海·闵行区·浦江,盟识科技,20-99人,25-45K·13薪,3-5年,硕士,"C++, Python, 算法设计, 深度学习算法, 机器学习算法, 视觉图像算法, TensorFlow, PyTorch"

人工智能AI软件设计工程师,上海·闵行区·莘庄,朴维自控,20-99人,15-30K,3-5年,本科,研究导向

ai算法工程师、人工智能、软件开发,上海·浦东新区·金桥,上海华为技术有限公司,10000人以上,14-25K,经验不限,本科,"Java, Python, C/C++, AI, 华为"

AI人工智能开发工程师（Python）,上海·杨浦区·延吉,英仕健康,20-99人,20-30K·13薪,经验不限,本科,"Python, chatgpt, ChatGLM"

人工智能AI研发产品管理实习生,上海·静安区·静安寺,上海帅笑网络科技...,100-499人,400-800元/天,2天/周,本科,"语义类AI, AI机器人, 机器学习类AI, 语音类AI, 视觉类AI, 智能汽车, 智能穿戴, AI芯片"

前端开发工程师（ai人工智能）,上海·徐汇区·龙华,迈思信息,1000-9999人,12-15K,1-3年,本科,"HTML5, CSS, React"

AI人工智能技术工程师CTO（合伙人）,上海·浦东新区·陆家嘴,川富资本,20-99人,35-40K,3-5年,本科,"深度学习, 机器学习, 计算机语言处理技术"

AI人工智能研发兼总裁助理-应届或工作均可,上海·闵行区·七宝,锡鼎,100-499人,12-24K,经验不限,本科,"计算机相关专业, 机器学习算法/工程化经验, 深度学习经验, 人工智能, 研发, 985"

人工智能 工程师,上海·静安区·曹家渡,老果树,0-20人,15-30K,经验不限,硕士,"数据挖掘, 数据分析, 深度学习算法, Python, C++, 游戏"

人工智能,上海·静安区·汶水路,通办服务,500-999人,8-10K·13薪,1-3年,大专,"智能问答客服运营, 政务服务"

人工智能专家,上海·徐汇区·漕河泾,上海举父,20-99人,15-25K,1-3年,硕士,"人工智能, TensorFlow, PyTorch, 视觉图像算法, 深度学习算法, Python, 物联网"

人工智能专家,上海·闵行区·虹梅路,北京字节跳动,10000人以上,30-60K,3-5年,本科,"Python, C++, Java, Go, TensorFlow"

AI人工智能总监,上海·徐汇区·万体馆,幻霄科技,100-499人,60-90K,5-10年,硕士,"云计算, OpenCV, 机器学习算法/工程化经验, 计算机相关专业, Caffe"

AI人工智能工程师,上海·杨浦区·新江湾城,沛岱汽车,20-99人,25-30K·16薪,经验不限,硕士,"点云, 3D模型"

ai人工智能工程师,上海·浦东新区·临港,臭皮匠机器人,0-20人,300-500元/天,3天/周,硕士,"Python, C/C++, TensorFlow/PyTorch"

AI人工智能平台软件销售,上海·闵行区·吴泾,MoPaaS 魔泊云,20-99人,12-24K,1-3年,大专,"电话销售, 面销/陌拜, 政府/社会团体, 软件/企业服务产品, 对企业/机构（To B）销售经验, 网络销售, 企业（To B）, 面销/陌拜经验, 电话销售经验, 互联网/科技"

ai实习生/人工智能回答实习生,上海·浦东新区·张江,优司服,20-99人,130-150元/天,5天/周,本科,"计算机相关专业, 机器学习算法/工程化经验, 搜索, 人工智能问答"

AI人工智能工程师,上海·闵行区·吴泾,兰鹤,0-20人,40-70K·16薪,3-5年,本科,"深度学习算法, 自然语言处理, 推荐算法, 视觉图像算法, 人工智能"

AI人工智能开发工程师,上海·黄浦区·人民广场,深众科技,100-499人,20-25K·14薪,1-3年,硕士,"TensorFlow, 人工智能, 机器人, 物联网, PyTorch, Caffe, Keras, Theano"

AI测评工程师（人工智能方向）,上海·浦东新区·金桥,华为,10000人以上,20-40K·14薪,经验不限,本科,"AI算法, 人工智能"

AI人工智能产品经理,上海·浦东新区·临港,天机智成,20-99人,20-40K,经验不限,本科,"产品设计, Axure, Visio, 人工智能, 智能硬件, 机器人"

AI人工智能产品设计,上海·闵行区·古美,上海合壹未来文化科技,100-499人,15-20K,5-10年,本科,"语义类AI, 机器学习类AI"

远程AI人工智能实习生,上海·浦东新区·陆家嘴,千际投资,0-20人,10-100元/天,4天/周,硕士,"自然语言处理, 深度学习算法, 推荐算法, 搜索算法, 广告算法, 机器学习算法, Python, SQL"

AI人工智能算法工程师,上海·浦东新区·周浦,酷螺科技(软件开发),20-99人,8-13K,经验不限,本科,"Python, TensorFlow, PyTorch, 计算机相关专业, 自然语言处理项目经验, 数学/统计相关专业"

AI人工智能算法工程师,上海·虹口区·曲阳,上海和平眼科医院,100-499人,15-30K,经验不限,硕士,"生物医疗, Python, Java, TensorFlow/PyTorch, 计算机相关专业"

人工智能AI产品经理讲师,上海·长宁区·天山,深启教育科技,20-99人,20-40K,3-5年,本科,AI产品经理

AI人工智能算法工程师,上海·松江区·石湖荡,上海大风,100-499人,25-50K,3-5年,本科,"算法设计, 深度学习算法, 视觉图像算法, Python, TensorFlow, PyTorch"

AI人工智能开发工程师,上海·徐汇区·斜土路,上海明晟影业,0-20人,20-21K,经验不限,本科,"语音/图像识别, Java, Python, Hadoop/Hive/Spark, 计算机相关专业, 机器学习算法/工程化经验"

人工智能AI助教（可兼职）,上海·浦东新区·川沙,咕泡科技,100-499人,10-15K,经验不限,博士,"语音/图像识别, Python, MATLAB, OpenCV"

AI人工智能行业分析实习生,上海·静安区·彭浦镇,扫描全能王,500-999人,150-300元/天,5天/周,本科,"业务数据分析, 业务模式/运营策略优化, 数据分析/商业分析经验"

AI人工智能算法工程师-00006,上海·闵行区·浦江,盟识科技,20-99人,25-45K·13薪,3-5年,硕士,"C++, Python, 算法设计, 深度学习算法, 机器学习算法, 视觉图像算法, TensorFlow, PyTorch"

人工智能AI软件设计工程师,上海·闵行区·莘庄,朴维自控,20-99人,15-30K,3-5年,本科,研究导向

ai算法工程师、人工智能、软件开发,上海·浦东新区·金桥,上海华为技术有限公司,10000人以上,14-25K,经验不限,本科,"Java, Python, C/C++, AI, 华为"

AI人工智能开发工程师（Python）,上海·杨浦区·延吉,英仕健康,20-99人,20-30K·13薪,经验不限,本科,"Python, chatgpt, ChatGLM"

人工智能AI研发产品管理实习生,上海·静安区·静安寺,上海帅笑网络科技...,100-499人,400-800元/天,2天/周,本科,"语义类AI, AI机器人, 机器学习类AI, 语音类AI, 视觉类AI, 智能汽车, 智能穿戴, AI芯片"

前端开发工程师（ai人工智能）,上海·徐汇区·龙华,迈思信息,1000-9999人,12-15K,1-3年,本科,"HTML5, CSS, React"

AI人工智能技术工程师CTO（合伙人）,上海·浦东新区·陆家嘴,川富资本,20-99人,35-40K,3-5年,本科,"深度学习, 机器学习, 计算机语言处理技术"

AI人工智能研发兼总裁助理-应届或工作均可,上海·闵行区·七宝,锡鼎,100-499人,12-24K,经验不限,本科,"计算机相关专业, 机器学习算法/工程化经验, 深度学习经验, 人工智能, 研发, 985"

人工智能 工程师,上海·静安区·曹家渡,老果树,0-20人,15-30K,经验不限,硕士,"数据挖掘, 数据分析, 深度学习算法, Python, C++, 游戏"

人工智能,上海·静安区·汶水路,通办服务,500-999人,8-10K·13薪,1-3年,大专,"智能问答客服运营, 政务服务"

人工智能专家,上海·徐汇区·漕河泾,上海举父,20-99人,15-25K,1-3年,硕士,"人工智能, TensorFlow, PyTorch, 视觉图像算法, 深度学习算法, Python, 物联网"

人工智能专家,上海·闵行区·虹梅路,北京字节跳动,10000人以上,30-60K,3-5年,本科,"Python, C++, Java, Go, TensorFlow"

AI人工智能总监,上海·徐汇区·万体馆,幻霄科技,100-499人,60-90K,5-10年,硕士,"云计算, OpenCV, 机器学习算法/工程化经验, 计算机相关专业, Caffe"

AI人工智能工程师,上海·杨浦区·新江湾城,沛岱汽车,20-99人,25-30K·16薪,经验不限,硕士,"点云, 3D模型"

ai人工智能工程师,上海·浦东新区·临港,臭皮匠机器人,0-20人,300-500元/天,3天/周,硕士,"Python, C/C++, TensorFlow/PyTorch"

AI人工智能平台软件销售,上海·闵行区·吴泾,MoPaaS 魔泊云,20-99人,12-24K,1-3年,大专,"电话销售, 面销/陌拜, 政府/社会团体, 软件/企业服务产品, 对企业/机构（To B）销售经验, 网络销售, 企业（To B）, 面销/陌拜经验, 电话销售经验, 互联网/科技"

ai实习生/人工智能回答实习生,上海·浦东新区·张江,优司服,20-99人,130-150元/天,5天/周,本科,"计算机相关专业, 机器学习算法/工程化经验, 搜索, 人工智能问答"

AI人工智能工程师,上海·闵行区·吴泾,兰鹤,0-20人,40-70K·16薪,3-5年,本科,"深度学习算法, 自然语言处理, 推荐算法, 视觉图像算法, 人工智能"

AI人工智能开发工程师,上海·黄浦区·人民广场,深众科技,100-499人,20-25K·14薪,1-3年,硕士,"TensorFlow, 人工智能, 机器人, 物联网, PyTorch, Caffe, Keras, Theano"

AI测评工程师（人工智能方向）,上海·浦东新区·金桥,华为,10000人以上,20-40K·14薪,经验不限,本科,"AI算法, 人工智能"

AI人工智能产品经理,上海·浦东新区·临港,天机智成,20-99人,20-40K,经验不限,本科,"产品设计, Axure, Visio, 人工智能, 智能硬件, 机器人"

AI人工智能产品设计,上海·闵行区·古美,上海合壹未来文化科技,100-499人,15-20K,5-10年,本科,"语义类AI, 机器学习类AI"

远程AI人工智能实习生,上海·浦东新区·陆家嘴,千际投资,0-20人,10-100元/天,4天/周,硕士,"自然语言处理, 深度学习算法, 推荐算法, 搜索算法, 广告算法, 机器学习算法, Python, SQL"

AI人工智能算法工程师,上海·浦东新区·周浦,酷螺科技(软件开发),20-99人,8-13K,经验不限,本科,"Python, TensorFlow, PyTorch, 计算机相关专业, 自然语言处理项目经验, 数学/统计相关专业"

AI人工智能算法工程师,上海·虹口区·曲阳,上海和平眼科医院,100-499人,15-30K,经验不限,硕士,"生物医疗, Python, Java, TensorFlow/PyTorch, 计算机相关专业"

人工智能AI产品经理讲师,上海·长宁区·天山,深启教育科技,20-99人,20-40K,3-5年,本科,AI产品经理

AI人工智能算法工程师,上海·松江区·石湖荡,上海大风,100-499人,25-50K,3-5年,本科,"算法设计, 深度学习算法, 视觉图像算法, Python, TensorFlow, PyTorch"

AI人工智能开发工程师,上海·徐汇区·斜土路,上海明晟影业,0-20人,20-21K,经验不限,本科,"语音/图像识别, Java, Python, Hadoop/Hive/Spark, 计算机相关专业, 机器学习算法/工程化经验"

